,capacity_policy,minfood_access_policy,maxfood_access_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full
0,0,0,0,0,0,1.0,0.0,4.0,0.1,6
1,0,0,0,0,1,1.0,0.0,4.0,0.1,6
2,0,0,0,0,2,1.0,0.0,4.0,0.1,6
3,0,0,0,0,3,1.0,0.0,4.0,0.1,6
4,0,0,0,1,0,1.0,0.0,4.0,0.1,6
5,0,0,0,1,1,1.0,0.0,4.0,0.1,6
6,0,0,0,1,2,1.0,0.0,4.0,0.1,6
7,0,0,0,1,3,1.0,0.0,4.0,0.1,6
8,0,0,1,0,0,1.0,0.0,4.0,0.1,6
9,0,0,1,0,1,1.0,0.0,4.0,0.1,6
10,0,0,1,0,2,1.0,0.0,4.0,0.1,6
11,0,0,1,0,3,1.0,0.0,4.0,0.1,6
12,0,0,1,1,0,1.0,0.0,4.0,0.1,6
13,0,0,1,1,1,1.0,0.0,4.0,0.1,6
14,0,0,1,1,2,1.0,0.0,4.0,0.1,6
15,0,0,1,1,3,1.0,0.0,4.0,0.1,6
16,0,0,2,0,0,1.0,0.0,4.0,0.1,6
17,0,0,2,0,1,1.0,0.0,4.0,0.1,6
18,0,0,2,0,2,1.0,0.0,4.0,0.1,6
19,0,0,2,0,3,1.0,0.0,4.0,0.1,6
20,0,0,2,1,0,1.0,0.0,4.0,0.1,6
21,0,0,2,1,1,1.0,0.0,4.0,0.1,6
22,0,0,2,1,2,1.0,0.0,4.0,0.1,6
23,0,0,2,1,3,1.0,0.0,4.0,0.1,6
24,0,1,0,0,0,1.0,0.0,4.0,0.1,6
25,0,1,0,0,1,1.0,0.0,4.0,0.1,6
26,0,1,0,0,2,1.0,0.0,4.0,0.1,6
27,0,1,0,0,3,1.0,0.0,4.0,0.1,6
28,0,1,0,1,0,1.0,0.0,4.0,0.1,6
29,0,1,0,1,1,1.0,0.0,4.0,0.1,6
30,0,1,0,1,2,1.0,0.0,4.0,0.1,6
31,0,1,0,1,3,1.0,0.0,4.0,0.1,6
32,0,1,1,0,0,1.0,0.0,4.0,0.1,6
33,0,1,1,0,1,1.0,0.0,4.0,0.1,6
34,0,1,1,0,2,1.0,0.0,4.0,0.1,6
35,0,1,1,0,3,1.0,0.0,4.0,0.1,6
36,0,1,1,1,0,1.0,0.0,4.0,0.1,6
37,0,1,1,1,1,1.0,0.0,4.0,0.1,6
38,0,1,1,1,2,1.0,0.0,4.0,0.1,6
39,0,1,1,1,3,1.0,0.0,4.0,0.1,6
40,0,1,2,0,0,1.0,0.0,4.0,0.1,6
41,0,1,2,0,1,1.0,0.0,4.0,0.1,6
42,0,1,2,0,2,1.0,0.0,4.0,0.1,6
43,0,1,2,0,3,1.0,0.0,4.0,0.1,6
44,0,1,2,1,0,1.0,0.0,4.0,0.1,6
