,capacity_policy,minfood_access_policy,maxfood_access_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0
1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,6.4
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,6.8
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,7.2
4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,7.6
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,8.0
6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,8.4
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,8.8
8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,9.2
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,9.6
10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,10.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,10.4
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,10.8
13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,11.2
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,11.4
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,11.8
