,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
0,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,0.1,7.8,0.0
1,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,0.1,7.8,5.0
2,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,0.1,7.8,10.0
3,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,0.1,7.8,20.0
4,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,0.1,7.8,25.0
5,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,1.0,7.8,0.0
6,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,1.0,7.8,5.0
7,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,1.0,7.8,10.0
8,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,1.0,7.8,20.0
9,0.0,0.0,30.0,0.0,0.0,1.0,1.0,3.0,1.0,7.8,25.0
10,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,0.1,7.8,0.0
11,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,0.1,7.8,5.0
12,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,0.1,7.8,10.0
13,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,0.1,7.8,20.0
14,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,0.1,7.8,25.0
15,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,1.0,7.8,0.0
16,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,1.0,7.8,5.0
17,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,1.0,7.8,10.0
18,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,1.0,7.8,20.0
19,0.0,0.0,30.0,0.0,0.0,1.0,1.0,7.0,1.0,7.8,25.0
20,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,0.1,7.8,0.0
21,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,0.1,7.8,5.0
22,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,0.1,7.8,10.0
23,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,0.1,7.8,20.0
24,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,0.1,7.8,25.0
25,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,1.0,7.8,0.0
26,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,1.0,7.8,5.0
27,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,1.0,7.8,10.0
28,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,1.0,7.8,20.0
29,0.0,0.0,30.0,0.0,0.0,1.0,1.0,14.0,1.0,7.8,25.0
