,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,facility_refill_frequency,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
1,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
2,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
3,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
4,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
5,1.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
6,1.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
7,1.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
8,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
9,2.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
10,2.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
11,2.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.1,6.0,20.0
12,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
13,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
14,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
15,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
16,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
17,1.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
18,1.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
19,1.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
20,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
21,2.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
22,2.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
23,2.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.1,7.4,20.0
24,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
25,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
26,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
27,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
28,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
29,1.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
30,1.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
31,1.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
32,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
33,2.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
34,2.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
35,2.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.5,6.0,20.0
36,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
37,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
38,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
39,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
40,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
41,1.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
42,1.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
43,1.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
44,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
45,2.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
46,2.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
47,2.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.5,7.4,20.0
48,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
49,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
50,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
51,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
