,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
1,0.0,0.0,15.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,20.0
2,0.0,0.0,15.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,20.0
3,0.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,1.0,6.0,20.0
4,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
5,0.0,0.0,30.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,20.0
6,0.0,0.0,30.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,20.0
7,0.0,0.0,30.0,0.0,3.0,0.0,0.0,3.0,1.0,6.0,20.0
8,1.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
9,1.0,0.0,15.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,20.0
10,1.0,0.0,15.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,20.0
11,1.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,1.0,6.0,20.0
12,1.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
13,1.0,0.0,30.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,20.0
14,1.0,0.0,30.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,20.0
15,1.0,0.0,30.0,0.0,3.0,0.0,0.0,3.0,1.0,6.0,20.0
16,2.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
17,2.0,0.0,15.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,20.0
18,2.0,0.0,15.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,20.0
19,2.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,1.0,6.0,20.0
20,2.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,20.0
21,2.0,0.0,30.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,20.0
22,2.0,0.0,30.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,20.0
23,2.0,0.0,30.0,0.0,3.0,0.0,0.0,3.0,1.0,6.0,20.0
24,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,7.8,20.0
25,0.0,0.0,15.0,0.0,1.0,0.0,0.0,3.0,1.0,7.8,20.0
26,0.0,0.0,15.0,0.0,2.0,0.0,0.0,3.0,1.0,7.8,20.0
27,0.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,1.0,7.8,20.0
28,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,7.8,20.0
29,0.0,0.0,30.0,0.0,1.0,0.0,0.0,3.0,1.0,7.8,20.0
30,0.0,0.0,30.0,0.0,2.0,0.0,0.0,3.0,1.0,7.8,20.0
31,0.0,0.0,30.0,0.0,3.0,0.0,0.0,3.0,1.0,7.8,20.0
32,1.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,7.8,20.0
33,1.0,0.0,15.0,0.0,1.0,0.0,0.0,3.0,1.0,7.8,20.0
34,1.0,0.0,15.0,0.0,2.0,0.0,0.0,3.0,1.0,7.8,20.0
35,1.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,1.0,7.8,20.0
36,1.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,7.8,20.0
37,1.0,0.0,30.0,0.0,1.0,0.0,0.0,3.0,1.0,7.8,20.0
38,1.0,0.0,30.0,0.0,2.0,0.0,0.0,3.0,1.0,7.8,20.0
39,1.0,0.0,30.0,0.0,3.0,0.0,0.0,3.0,1.0,7.8,20.0
40,2.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,7.8,20.0
41,2.0,0.0,15.0,0.0,1.0,0.0,0.0,3.0,1.0,7.8,20.0
42,2.0,0.0,15.0,0.0,2.0,0.0,0.0,3.0,1.0,7.8,20.0
43,2.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,1.0,7.8,20.0
44,2.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,7.8,20.0
45,2.0,0.0,30.0,0.0,1.0,0.0,0.0,3.0,1.0,7.8,20.0
46,2.0,0.0,30.0,0.0,2.0,0.0,0.0,3.0,1.0,7.8,20.0
47,2.0,0.0,30.0,0.0,3.0,0.0,0.0,3.0,1.0,7.8,20.0
48,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,20.0
49,0.0,0.0,15.0,0.0,1.0,0.0,0.0,7.0,1.0,6.0,20.0
50,0.0,0.0,15.0,0.0,2.0,0.0,0.0,7.0,1.0,6.0,20.0
51,0.0,0.0,15.0,0.0,3.0,0.0,0.0,7.0,1.0,6.0,20.0
52,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,20.0
53,0.0,0.0,30.0,0.0,1.0,0.0,0.0,7.0,1.0,6.0,20.0
54,0.0,0.0,30.0,0.0,2.0,0.0,0.0,7.0,1.0,6.0,20.0
55,0.0,0.0,30.0,0.0,3.0,0.0,0.0,7.0,1.0,6.0,20.0
56,1.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,20.0
57,1.0,0.0,15.0,0.0,1.0,0.0,0.0,7.0,1.0,6.0,20.0
58,1.0,0.0,15.0,0.0,2.0,0.0,0.0,7.0,1.0,6.0,20.0
59,1.0,0.0,15.0,0.0,3.0,0.0,0.0,7.0,1.0,6.0,20.0
60,1.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,20.0
61,1.0,0.0,30.0,0.0,1.0,0.0,0.0,7.0,1.0,6.0,20.0
62,1.0,0.0,30.0,0.0,2.0,0.0,0.0,7.0,1.0,6.0,20.0
63,1.0,0.0,30.0,0.0,3.0,0.0,0.0,7.0,1.0,6.0,20.0
64,2.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,20.0
65,2.0,0.0,15.0,0.0,1.0,0.0,0.0,7.0,1.0,6.0,20.0
66,2.0,0.0,15.0,0.0,2.0,0.0,0.0,7.0,1.0,6.0,20.0
67,2.0,0.0,15.0,0.0,3.0,0.0,0.0,7.0,1.0,6.0,20.0
68,2.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,20.0
69,2.0,0.0,30.0,0.0,1.0,0.0,0.0,7.0,1.0,6.0,20.0
70,2.0,0.0,30.0,0.0,2.0,0.0,0.0,7.0,1.0,6.0,20.0
71,2.0,0.0,30.0,0.0,3.0,0.0,0.0,7.0,1.0,6.0,20.0
72,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,1.0,7.8,20.0
73,0.0,0.0,15.0,0.0,1.0,0.0,0.0,7.0,1.0,7.8,20.0
74,0.0,0.0,15.0,0.0,2.0,0.0,0.0,7.0,1.0,7.8,20.0
75,0.0,0.0,15.0,0.0,3.0,0.0,0.0,7.0,1.0,7.8,20.0
76,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,1.0,7.8,20.0
77,0.0,0.0,30.0,0.0,1.0,0.0,0.0,7.0,1.0,7.8,20.0
78,0.0,0.0,30.0,0.0,2.0,0.0,0.0,7.0,1.0,7.8,20.0
