,capacity_policy,minfood_access_policy,maxfood_access_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.1
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.1
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0
8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.1
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0
10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.1
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0
12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.1
13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.1
15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0
